2026-06-24 12:05:52 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.160s
2026-06-24 12:05:52 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:05:53 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:05:53 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=0.947s
2026-06-24 12:05:53 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:05:53 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:05:53 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.159s
2026-06-24 12:05:53 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:05:53 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=FileNotFoundError): missing
2026-06-24 12:05:53 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:05:53 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:05:53 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=ConversionError original=FileDataError): Failed to open file 'C:\\Users\\Admin\\AppData\\Local\\Temp\\tmp1e5wisfi.pdf'.
2026-06-24 12:05:53 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.021s
2026-06-24 12:11:43 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:11:50 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:11:50 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=7.259s
2026-06-24 12:11:50 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:11:50 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:11:50 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.036s
2026-06-24 12:11:50 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:11:50 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-24 12:11:50 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.072s
2026-06-24 12:11:50 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-24 12:11:50 | services.operations.split_pdf_adapter | INFO | Completed split_pdf (out_bytes=1595328)
2026-06-24 12:11:50 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.083s
2026-06-24 12:11:50 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:11:51 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:11:51 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=0.466s
2026-06-24 12:11:51 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:11:51 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:11:51 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.071s
2026-06-24 12:11:51 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:11:51 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=FileNotFoundError): missing
2026-06-24 12:11:51 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.013s
2026-06-24 12:11:51 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:11:51 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=ValueError): Unsupported file extension: .xyz
2026-06-24 12:11:51 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:13:54 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:14:01 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:14:01 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=7.134s
2026-06-24 12:14:02 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:14:02 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:14:02 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.059s
2026-06-24 12:14:02 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:14:02 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-24 12:14:02 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.137s
2026-06-24 12:14:02 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-24 12:14:02 | services.operations.split_pdf_adapter | INFO | Completed split_pdf (out_bytes=1595328)
2026-06-24 12:14:02 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.120s
2026-06-24 12:14:02 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:14:03 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:14:03 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=1.142s
2026-06-24 12:14:03 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:14:03 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:14:03 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.056s
2026-06-24 12:14:03 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:14:03 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=FileNotFoundError): missing
2026-06-24 12:14:03 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:14:03 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:14:03 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=ValueError): Unsupported file extension: .xyz
2026-06-24 12:14:03 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:14:03 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=5,end=1)
2026-06-24 12:14:03 | services.operations.split_pdf_adapter | ERROR | split_pdf failed (mapped=FileValidationError original=ValueError): Invalid page range
2026-06-24 12:14:03 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.001s
2026-06-24 12:14:03 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:14:03 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=ConversionError original=PDFSyntaxError): No /Root object! - Is this really a PDF?
2026-06-24 12:14:03 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.020s
2026-06-24 12:14:03 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:14:04 | services.operations.compress_pdf_adapter | ERROR | compress_pdf failed (mapped=CompressionError original=FileDataError): Failed to open stream
2026-06-24 12:14:04 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=0.184s
2026-06-24 12:14:04 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:14:04 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=ConversionError original=PDFSyntaxError): No /Root object! - Is this really a PDF?
2026-06-24 12:14:04 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.007s
2026-06-24 12:15:48 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:16:00 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:16:00 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=11.937s
2026-06-24 12:16:00 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:16:00 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:16:00 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.044s
2026-06-24 12:16:00 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:16:00 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
